NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB 151,71.1,0.65,15.4,,,0.06,1.96,1.48,1.97,2.46,0.35,4.9,,,,,663,125,22,15,13,68,6,89,126,40,118,20,88,131
AB 152,62.03,0.9,21.16,,,0.03,1.36,3.3,0.84,3.21,0.53,6.26,,,,,1415,114,21,24,21,60,12,149,1617,36.7,199,31,89,191
AB 153,64.85,0.78,19.49,,,0.03,1.17,2.95,1.27,4.32,0.48,5.09,,,,,1525,85.5,16.5,19.5,19.5,52.5,9,172,999,21,147,28,79,175
AB 154,60.85,0.96,22.02,,,0.02,1.5,4.08,0.43,3.09,0.71,6.55,,,,,1503,117,28,22,18,65,12,137,1406,28.6,215,23,97,174
AB 155,68.13,0.58,18.46,,,0.02,0.85,1.4,1.99,3.83,0.21,4.4,,,,,766,93,13,18,17,45,17,183,353,36,148,31,66,117
AB 156,70.3,0.57,15.61,,,0.06,1.98,1.74,1.83,2.81,0.38,5.11,,,,,1354,122,17,13,9,54,5,107,945,20,119,19,86,114
AB 161,70.62,0.57,16.58,,,0.02,0.98,1.4,1.74,3.46,0.51,4.28,,,,,969,78,13,16,16,55,6,172,623,31,151,35,77,145
AB 162,66.26,0.63,17.93,,,0.04,1.13,3.82,2.22,3.69,0.29,4.35,,,,,1007,64.7,14.7,16.7,17.7,45.7,3,169,577,37,130,31,66,144
AB 163,66.55,0.62,17.83,,,0.03,0.83,4.32,2.14,3.65,0.3,3.85,,,,,1213,73.3,14.3,16.3,19.3,43.3,1,149,668,27,139,28,56,150
AB 165,70.23,0.55,14.53,,,0.03,0.96,4.78,1.4,2.75,0.87,3.86,,,,,1243,88.3,19.3,14.3,18.3,63.3,2,132,738,32,139,42,94,143
AB 168,68.96,0.57,16.67,,,0.03,0.79,3.01,1.84,3.58,0.66,3.88,,,,,1267,83.7,14.7,16.7,17.7,54.7,9,190,590,38,122,33,76,142
AB 169,62.93,0.78,20.09,,,0.03,0.95,4.32,1.53,3.72,0.59,5.27,,,,,1280,78,17,18,20,50,2,166,1049,29.9,156,31,75,160
AB 179,66.97,0.63,17.51,,,0.03,0.79,3.61,1.6,3.5,0.46,4.43,,,,,928,71,13,17,17,41,4,164,516,25,146,23,71,137
AB 180,63.25,0.75,19.61,,,0.03,0.96,4.08,1.61,4.06,0.43,5.09,,,,,1275,90.5,15.5,19.5,20.5,50.5,1,178,637,28,163,28,80,149
AB 184,68.72,0.55,16.56,,,0.02,0.87,3.31,1.82,3.91,0.3,3.9,,,,,282,68,16,19,21,50,5,216,96,55,124,30,74,126
AB 185,62.84,0.96,21.19,,,0.03,1.42,2.84,0.89,2.92,0.24,6.55,,,,,776,98,11,19,21,53,7,148,420,25,186,30,95,207
AB 186,67.12,0.61,16.82,,,0.04,2.45,1.76,1.69,3.89,0.32,5.46,,,,,671,95,15,16,9,54,8,135,305,37,147,24,85,113
AB 187,64.19,0.71,18.67,,,0.03,1.29,3.85,1.68,3.5,0.45,5.52,,,,,1014,80.4,11.4,16.4,14.4,53.4,1,144,440,22,160,26,88,134
AB 190,69.03,0.54,16.28,,,0.08,1.94,1.39,1.48,4.31,0.48,4.65,,,,,1424,87.4,17.4,15.4,8,47.4,3,146,888,17,123,19,76,117
AB 191,69.65,0.63,14.83,,,0.04,2.39,1.16,0.92,3.1,0.17,6.63,,,,,866,128,12,14,12,60,1,134,331,13,159,19,100,129
AB 193,70.45,0.62,14.57,,,0.05,2.36,1.1,0.96,3.1,0.17,6.76,,,,,677,133,12,14,7,58,3,128,253,33,152,18,93,122
