"","lat","lng"
"952",37.124742,-8.348079
"953",38.411178,-7.394613
"955",37.236509,-7.432531
"956",NA,NA
"962",38.539073,-8.014282
"964",NA,NA
"966",38.507995,-8.00617
"967",38.508329,-8.006605
"968",NA,NA
"969",NA,NA
"971",38.486451,-8.065474
"974",37.812186,-7.649348
"977",38.392262,-7.969044
"981",NA,NA
"983",NA,NA
"986",NA,NA
"989",38.663512,-8.032805
"991",38.942103,-7.507874
"992",NA,NA
"994",37.322741,-8.733297
"996",38.148988,-7.698939
"997",38.151349,-7.691898
"998",38.109629,-8.073082
"999",38.107305,-8.075353
"1000",38.123351,-8.077211
"1001",38.128042,-8.091772
"1002",38.004099,-7.699794
"1003",NA,NA
"1004",37.07687,-7.784468
"1005",38.378066,-7.430197
"1006",38.380343,-7.434409
"1007",NA,NA
"1010",38.052168,-7.974304
"1011",38.050002,-7.978319
"1012",NA,NA
"1013",NA,NA
"1015",37.289309,-8.544703
"1017",38.207001,-7.915593
"1019",38.501965,-9.027833
"1020",38.685535,-8.067403
"1021",NA,NA
"1022",NA,NA
"1027",NA,NA
"1028",38.748589,-7.892971
"1029",38.745205,-7.889819
"1030",37.341363,-8.789587
"1035",37.470514,-7.551592
"1036",38.500124,-9.032969
"1037",38.460806,-9.105804
"1038",37.461701,-7.573814
"1039",38.630992,-7.446275
"1040",38.13913,-7.225123
"1041",37.881562,-8.167589
"1042",38.177781,-7.062874
"1043",38.906643,-8.018966
"1046",38.298123,-8.229245
"1047",37.26096,-7.836944
"1048",37.223807,-7.448253
"1049",38.176466,-7.463178
"1050",38.028268,-7.624891
"1051",38.026737,-7.620916
"1052",37.21895,-8.35113
"1054",37.638842,-7.651583
"1056",37.165789,-7.674311
"1057",37.39616,-7.837656
"1058",37.395527,-7.836981
"1059",37.420794,-7.702675
"1060",NA,NA
"1061",NA,NA
"1062",37.314997,-7.608519
"1063",37.237274,-8.832633
"1064",37.869445,-8.165708
"1066",38.215843,-7.455384
"1067",NA,NA
"1069",38.058778,-8.139028
"1074",38.477263,-7.530023
"1075",37.56114,-8.277959
"1076",37.336907,-8.738205
"1077",37.370882,-7.896009
"1078",37.865475,-7.4041
"1079",37.270258,-7.43648
"1080",NA,NA
"1081",38.093546,-7.558083
"1082",38.160805,-8.139939
"1086",38.609971,-7.708165
"1087",38.631538,-8.027727
"1088",38.579088,-7.934286
"1089",38.644984,-7.99836
"1090",38.631354,-8.005896
"1091",38.504414,-7.655042
"1092",38.818007,-8.068549
"1591",NA,NA
"1592",38.75827,-7.667736
"1593",38.598587,-8.039254
"1594",38.610745,-8.035507
"1595",38.603234,-8.037871
"1596",38.598144,-8.049299
"1597",38.60062,-8.047861
"1598",38.476183,-7.585325
"1599",38.365576,-7.310406
"1600",37.271044,-8.304334
"1601",37.273408,-8.308015
"1602",38.903227,-8.025888
"1603",38.908996,-8.030837
"1604",38.910437,-8.030259
"1605",38.906832,-8.028073
"1606",38.903419,-8.040875
"1607",38.906805,-8.039487
"1608",38.762289,-8.016607
"1609",38.761844,-8.021785
"1610",NA,NA
"1611",38.3626,-7.405404
"1612",38.363987,-7.400996
"1613",38.364778,-7.399261
"1614",38.558722,-7.29886
"1615",38.556446,-7.295617
"1616",38.562784,-7.300133
"1617",38.480931,-7.777089
"1618",38.604738,-7.764471
"1619",38.605277,-7.763894
"1620",38.416469,-7.74665
"1621",38.507444,-7.812063
