Katalognr / Literatur,Fundort,Kreis,Land,Schwertart,Typ,Variante,Fundumstände (Statistik),Amt / Kreis,Datie-rung,Steinkreis/-kranz,Stein-kiste,Stein-packung,Stein-setzung,Stein-rahmen,Megalith-grab,Baum-sarg,Holz-sarg,Körper-bestattung,Brand-bestattung,Doppel-bestattung,Fibel,Nadel,Gold-nadel,Wetz-stein,Feuer-schlag-stein,Schwefel-kies,Flint-dolch,Vollgriff-schwert,Vollgriff-dolch,Achtkant-schwert,Griff-platten-schwert,Griffplatten-dolch,Griffzungen-schwert,Griffzungen-dolch,Griffangel-schwert,Griffangel-dolch,Krumm-schwert,Klingen-fragment,Dolchklingen-fragment,Schwertklingen-fragment,Knauf,Ortband,Holz-scheide,Leder-scheide,Doppel-knopf,Lanzen-spitze,Flintpfeil-spitze,"""Sonnen-scheibe""",Blech-hülse,Gürtel-platte,Gürtel-haken,Gürtel-dose,Buckel,Tutulus,Anhänger,Glas-perle,Bern-stein-perle,Anderes Bernstein-objekt,Spiral-ring,Ring,Gold-spiral-ring,Gold-ring,Hals-kragen,Hals-ring,Armring,Spiral-arm-ring,Armberge,Armband,Goldarm-band,Goldarm-ring,Gold-spiral-armring,Finger-ring,Spiral-finger-ring,Gold-finger-ring,Goldspiral-fingerring,Fußring,Fußberge,Spiral-röllchen,Gold-spiral-röllchen,Rasier-messer,Pinzette,Pfriem,Messer,Vollgriff-messer,Rahmen-griff-messer,Sichel,Rand-leisten-beil,Absatz-beil,nordisches Absatzbeil,Tüllen-beil,Hohl-beil,Axt,Schaft-röhren-axt,Stein-axt,Tüllen-meißel,Hohl-meißel,Tüllen-hammer,Bronze-rohmaterial,Bronze-gefäß,Ton-gefäß,Sonstiges
A43,Yding,"Ksp. Yding, Voer Herred, Skanderborg Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A2,unbekannt,Skanderborg Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A44,Umg. v. Vejle,"Ksp. Vejle, Nørvang Herred, Vejle Amt",Dänemark,Sonstiges Vollgriffschwert,Valsømagle nahestehend,Variante A1 nahestehend,Einzelfund Land,Vejle Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A45,Nebel,"Altkreis Südtondern, Amrum, Schleswig-Holstein",Deutschland,Sonstiges Vollgriffschwert,,,"Grabhügel, Hauptbestattung",Kreis Nordfriesland,Per. I,1,,1,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
A46,Rastorf,"Kr. Plön, Schleswig-Holstein",Deutschland,Sonstiges Vollgriffschwert,Hajdúsámson-Apa nahestehend,,"Grabhügel, Nebenbestattung",Kreis Plön,Per. I,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A47,Fundort unbekannt,,Dänemark (?),Sonstiges Vollgriffschwert (?),Valsømagle nahestehend,,unbekannt,unbekannt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A48,Fundort unbekannt,,Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A1,unbekannt,unbekannt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A49,Fundort unbekannt,,Dänemark (?),Sonstiger Vollgriffdolch,Valsømagle nahestehend,Variante A2 nahestehend,,unbekannt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,Bakkebjerg,"Ksp. Blistrup, Holbo Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"G1, SF",,"Grabhügel, Nebenbestattung",Frederiksborg Amt,Per. II,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,Jordhøj,"Ksp. Slangerup, Lynge-Frederiksborg Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"L8, SF",,"Grabhügel, Hauptbestattung",Frederiksborg Amt,Per. II,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,Jordhøj,"Ksp. Slangerup, Lynge-Frederiksborg Herred, Frederiksborg Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),"K3, SF",,Grabhügel,Frederiksborg Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
