Katalognr / Literatur,Fundort,Kreis,Land,Schwertart,Typ,Variante,Fundumstände (Statistik),Amt / Kreis,Datie-rung,Steinkreis/-kranz,Stein-kiste,Stein-packung,Stein-setzung,Stein-rahmen,Megalith-grab,Baum-sarg,Holz-sarg,Körper-bestattung,Brand-bestattung,Doppel-bestattung,Fibel,Nadel,Gold-nadel,Wetz-stein,Feuer-schlag-stein,Schwefel-kies,Flint-dolch,Vollgriff-schwert,Vollgriff-dolch,Achtkant-schwert,Griff-platten-schwert,Griffplatten-dolch,Griffzungen-schwert,Griffzungen-dolch,Griffangel-schwert,Griffangel-dolch,Krumm-schwert,Klingen-fragment,Dolchklingen-fragment,Schwertklingen-fragment,Knauf,Ortband,Holz-scheide,Leder-scheide,Doppel-knopf,Lanzen-spitze,Flintpfeil-spitze,"""Sonnen-scheibe""",Blech-hülse,Gürtel-platte,Gürtel-haken,Gürtel-dose,Buckel,Tutulus,Anhänger,Glas-perle,Bern-stein-perle,Anderes Bernstein-objekt,Spiral-ring,Ring,Gold-spiral-ring,Gold-ring,Hals-kragen,Hals-ring,Armring,Spiral-arm-ring,Armberge,Armband,Goldarm-band,Goldarm-ring,Gold-spiral-armring,Finger-ring,Spiral-finger-ring,Gold-finger-ring,Goldspiral-fingerring,Fußring,Fußberge,Spiral-röllchen,Gold-spiral-röllchen,Rasier-messer,Pinzette,Pfriem,Messer,Vollgriff-messer,Rahmen-griff-messer,Sichel,Rand-leisten-beil,Absatz-beil,nordisches Absatzbeil,Tüllen-beil,Hohl-beil,Axt,Schaft-röhren-axt,Stein-axt,Tüllen-meißel,Hohl-meißel,Tüllen-hammer,Bronze-rohmaterial,Bronze-gefäß,Ton-gefäß,Sonstiges
C36,Holckenhavn,"Ksp. Vindinge, Vindinge Herred, Svendborg Amt",Dänemark,Achtkantschwert,Typ Leonberg,Aichach/Schrobenhausen,"Grabhügel, Nebenbestattung",Svendborg Amt,Per. II,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C37,Juelsberg,"Ksp. Avnslev, Vindinge Herred, Svendborg Amt",Dänemark,Achtkantschwert,Typ Vasby,Ågerup,unbekannt,Svendborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C38,Lydingegård,"Ksp. Brahetrolleborg, Sallinge Herred, Svendborg Amt",Dänemark,Achtkantschwert,Typ Vasby,Ågerup,unbekannt,Svendborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C39,Fünen,,Dänemark,Achtkantschwert,?,,unbekannt,unbekannt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C40,Fünen,,Dänemark,Achtkantschwert,Typ Hausmoning,,unbekannt,unbekannt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C41,Dybvad,"Ksp. Skæve, Dronninglund Herred, Hjørring Amt",Dänemark,Achtkantschwert,Typ Erbach,Roskilde,Grabhügel,Hjørring Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C42,"""Limfjord""",Hjørring Amt (?),Dänemark,Achtkantschwert,?,,unbekannt,Hjørring Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C43,Bedsted,"Ksp. Bedsted, Hassing Herred, Thisted Amt",Dänemark,Achtkantschwert,Typ Hausmoning,Bedsted,Grabhügel,Thisted Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C44,Frøslevvang,"Ksp. Frøslev, Morsø Sønder-Herred, Thisted Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,Grabhügel,Thisted Amt,Per. II,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C45,Silstrup,"Ksp. Tilsted, Hundborg Herred, Thisted Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Thisted Amt,Per. II,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C46,Skarregård,"Ksp. Sejerslev, Morsø Nørre Herred, Thisted Amt",Dänemark,Achtkantschwert,?,,Einzelfund Land,Thisted Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47,verm. Thy,Thisted Amt,Dänemark,Achtkantschwert,SF,,Grabhügel,Thisted Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C48,Tvedhøjgård,"Ksp. Ræer, Hillerslev Herred, Thisted Amt",Dänemark,Achtkantschwert,Typ Vasby (?),,Grabhügel,Thisted Amt,Per. II,1,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49,Tødsø,"Ksp. Tødsø, Morsø Nørre Herred, Thisted Amt",Dänemark,Achtkantschwert,Typ Leonberg,Sorgenfri,Grabhügel,Thisted Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C50,Vorup,"Ksp. Hundborg, Hundborg Herred, Thisted Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,Grabhügel,Thisted Amt,Per. II,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C51,Løvdal,"Ksp. Oue, Hindsted Herred, Ålborg Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,unbekannt,Ålborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C52,Vester Hornum,"Ksp. Vester Hornum, Års Herred, Ålborg Amt",Dänemark,Achtkantschwert,?,,Hortfund Land,Ålborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
C53,Breum,"Ksp. Grinderslev, Salling Nørre-Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Viborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C54,Enslev,"Ksp. Vellev, Houlbjerg Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Hausmoning,Bedsted,Grabhügel,Viborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C55,Hulbæk,"Ksp. Ørum, Sønderlyng Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Erbach,Roskilde,,Viborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C56,Kragelund,"Ksp. Kragelund, Hids Herred, Viborg Amt",Dänemark,Achtkantschwert,?,,Grabhügel,Viborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57,Norupgårde,"Ksp. Vile, Harre Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,Grabhügel,Viborg Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C58,Nørre-Lem,"Ksp. Lem, Rødding Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Vasby,Ågerup,Grabhügel,Viborg Amt,Per. II,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C59,Skærskov,"Ksp. Funder, Hids Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Hausmoning,Bedsted,Grabhügel,Viborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C60,Stanghede,"Ksp. Dollerup, Nørlyng Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Leonberg,nahestehend Sorgenfri,Grabhügel,Viborg Amt,Per. II,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C61,Thorning,"Ksp. Thorning, Lysgård Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,"Grabhügel, Hauptbestattung",Viborg Amt,Per. II,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
C62,Vejby,"Ksp. Vejby, Rødding Herred, Viborg Amt",Dänemark,Achtkantschwert,Typ Vasby,Ågerup,unbekannt,Viborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C63,Ørum,"Ksp. Ørum, Sønderlyng Herred, Viborg Amt",Dänemark,Achtkantschwert,SF,,"Grabhügel, Hauptbestattung",Viborg Amt,Per. II,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
C64,Øster-Velling,"Ksp. Øster-Velling, Middelsom Herred, Viborg Amt",Dänemark,Achtkantschwert,"Typ Hausmoning, SF",,Grabhügel,Viborg Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C65,Bygballe,"Ksp. Mejlby, Øster Lisbjerg Herred, Randers Amt",Dänemark,Achtkantschwert,Typ Klakring,,Grabhügel,Randers Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C66,Åstruplund,"Ksp. Skødstrup, Øster Lisbjerg Herred, Randers Amt",Dänemark,Achtkantschwert,Typ Erbach,Roskilde,Einzelfund Land,Randers Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C67,Fundort unbekannt,Aarhus Amt (?),Dänemark,Achtkantschwert,?,,unbekannt,Aarhus Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C68,Fundort unbekannt,Aarhus Amt (?),Dänemark,Achtkantschwert,Typ Forstmühler Forst,Hammoor,unbekannt,Aarhus Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C69,Egebjerg,"Ksp. Hanstedt, Voer Herred, Skanderborg Amt",Dänemark,Achtkantschwert,Typ Vasby (?),,Grabhügel,Skanderborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C70,Hansted,"Ksp. Hanstedt, Voer Herred, Skanderborg Amt",Dänemark,Achtkantschwert,?,,"Grabhügel, Nebenbestattung",Skanderborg Amt,Per. II,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C71,Trust,"Ksp. Tvilum, Gjern Herred, Skanderborg Amt",Dänemark,Achtkantschwert,Typ Erbach,Roskilde,,Skanderborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C72,Bækkelund,"Ksp. Mejrup, Hjerm Herred, Ringkøbing Amt",Dänemark,Achtkantschwert,Typ Hausmoning,Bedsted,Grabhügel,Ringkøbing Amt,Per. II,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C73,Bøel,"Ksp. Lønborg, Nørre-Horne Herred, Ringkøbing Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C74,Fjaltring,"Ksp. Fjaltring, Vandfuld Herred, Ringkøbing Amt",Dänemark,Achtkantschwert,Typ Leonberg,Sorgenfri,Einzelfund Moor,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C75,Ringkøbing,"Ksp. Ringkøbing, Hind Herred, Ringkøbing Amt",Dänemark,Sonstiges 'süddeutsches' Schwert,,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C76,Ådum,"Ksp. Ådum, Nørre-Horne Herred, Ringkøbing Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C77,Ådum,"Ksp. Ådum, Nørre-Horne Herred, Ringkøbing Amt",Dänemark,Achtkantschwert,Typ Ådum,,Grabhügel,Ringkøbing Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C78,Bindeballe,"Ksp. Randbøl, Tørrild Herred, Vejle Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,"Grabhügel, Nebenbestattung",Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C78.I,Fundort unbekannt,Vejle Amt (?),Dänemark (?),Achtkantschwert,Typ Forstmühler Forst,Hammoor,unbekannt,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C79,Hastrupgård,"Ksp. Thyregod, Nørvang Herred, Vejle Amt",Dänemark,Achtkantschwert,?,,Grabhügel,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C80,Hjarnø,"Ksp. Hjarnø, Bjerre Herred, Vejle Amt",Dänemark,Achtkantschwert,Typ Vasby,,Einzelfund Moor,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C81,Jelling,"Ksp. Jelling, Tørrild Herred, Vejle Amt",Dänemark,Achtkantschwert,?,,unbekannt,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C82,Strandhuse,"Ksp. Klakring, Bjerre Herred, Vejle Amt",Dänemark,Achtkantschwert,Typ Klakring,,Grabhügel,Vejle Amt,Per. II,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
C83,Bobøl,"Ksp. Føvling, Malt Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Ribe Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C84,Drostrup,"Ksp. Læborg, Malt Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Klakring,,"Grabhügel, Nebenbestattung",Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C85,Hafdrup,"Ksp. Vamdrup, Anst Herred, Ribe Amt",Dänemark,Sonstiges 'süddeutsches' Schwert,?,,Grabhügel,Ribe Amt,Per. II,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
C86,Hejnsvig,"Ksp. Hejnsvig, Slavs Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,"Grabhügel, Nebenbestattung",Ribe Amt,Per. II,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C87,Holleskov,"Ksp. Føvling, Malt Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C88,Stundsig,"Ksp. Horne, Øster-Horne Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Ramløse nahestehend,,unbekannt,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C89,Tobøl,"Ksp. Guldager, Skast Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,Grabhügel,Ribe Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
C90,Tvilde,"Ksp. Åstrup, Gørding Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Erbach,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91,Vamdrup,"Ksp. Vamdrup, Anst Herred, Ribe Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,unbekannt,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C92,Diernæs,"Ksp. Hoptrup, Haderslev Herred, Haderslev Amt",Dänemark,Achtkantschwert,"Typ ""Schonen""",,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C93,Haderslev Amt,Haderslev Amt,Dänemark,Achtkantschwert,Typ Vasby,,unbekannt,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C94,verm. Haderslev Amt,Haderslev Amt,Dänemark,Achtkantschwert,?,,unbekannt,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C95,Københoved,"Ksp. Skrave, Frøs Herred, Haderslev Amt",Dänemark,Achtkantschwert,,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C96,Stursbøl,"Ksp. Oksenvad, Gram Herred, Haderslev Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C97,Vellerup,"Ksp. Agerskov, Nørre-Rangstrup Herred, Haderslev Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C98,Dyrehave,"Ksp. Løjt, Rise Herred, Åbenrå Amt",Dänemark,Achtkantschwert,?,,Grabhügel,Åbenrå Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C99,Åbenrå Amt,Åbenrå Amt,Dänemark,Achtkantschwert,Typ Vasby,,unbekannt,Åbenrå Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C100,Hjordkjær,"Ksp. Hjordkjær, Rise Herred, Åbenrå Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,"Grabhügel, Nebenbestattung",Åbenrå Amt,Per. II,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C101,Uge,"Ksp. Uge, Lundtoft Herred, Åbenrå Amt",Dänemark,Achtkantschwert,Typ Vasby,,Grabhügel,Åbenrå Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C102,Dybbøl,"Ksp. Dybbøl, Nybøl Herred, Sønderborg Amt",Dänemark,Achtkantschwert,SF,,Grabhügel,Sønderborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C103,Skakkenborg,"Ksp. Ketting, Als Sønder-Herred, Sønderborg Amt",Dänemark,Achtkantschwert,Typ Hausmoning,,Grabhügel,Sønderborg Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C104,Stolbro,"Ksp. Egen, Als Nørre-Herred, Sønderborg Amt",Dänemark,Achtkantschwert,Typ Leonberg,,Grabhügel,Sønderborg Amt,Per. II,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C105,Amrum,"Altkreis Südtondern, Amrum, Schleswig-Holstein",Deutschland,Achtkantschwert,Typ Forstmühler Forst,Hammoor,unbekannt,Kreis Nordfriesland,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C106,Ramstedt,"Altkreis Husum, Schleswig-Holstein",Deutschland,Achtkantschwert (?),unbekannt,,Grabhügel,Kreis Nordfriesland,Per. II,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C107,Ramstedt,"Altkreis Husum, Schleswig-Holstein",Deutschland,Achtkantschwert,unbekannt,,Grabhügel,Kreis Nordfriesland,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C108,Utersum,"Altkreis Südtondern, Föhr, Schleswig-Holstein",Deutschland,Achtkantschwert,Typ Leonberg,,Grabhügel,Kreis Nordfriesland,Per. II,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
