NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,SUMME,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB 60 ,58.5,0.69,16.6,,,0.09,3.07,9.78,1.72,3.06,0.28,100,6.23,,,,,550,76,13,14,12,42,7,117,272,19,118,20,92,127
AB 68 ,59.6,0.66,15.9,,,0.07,2.9,10.1,2.16,2.85,0.21,99.8,5.32,,,,,410,70,11,11,12,35,1,130,221,2,105,27,77,120
AB  79,58.4,0.44,8.21,,,0.06,1.74,25.6,1.16,1.61,0.38,99.9,2.33,,,,,299,57,31,1,7,44,1,50,248,4,43,17,43,135
AB  80 ,58.4,0.52,10.6,,,0.07,1.97,21.3,1.07,1.98,0.31,99.6,3.35,,,,,337,79,21,2,6,67,1,72,213,1,68,17,55,127
AB  81 ,56.1,0.57,11.8,,,0.07,2.32,21.9,1.09,2.27,0.54,100,3.52,,,,,404,73,21,3,8,55,1,78,245,1,72,15,57,121
AB  82 ,56.1,0.46,9.34,,,0.09,1.73,24.7,1.04,2.56,0.57,99.5,3.02,,,,,495,66,28,1,7,56,1,64,275,4,42,17,50,108
AB  83 ,58,0.48,8.61,,,0.07,2.23,24.7,1.12,1.79,0.14,99.7,2.57,,,,,197,70,21,1,7,41,1,62,216,6,57,18,43,137
AB  84 ,63.7,0.7,18.9,,,0.03,0.86,5.28,1.24,3.53,0.92,99.7,4.51,,,,,1170,89,12,17,25,46,8,145,175,16,163,18,72,167
AB  85 ,66.1,0.58,14.8,,,0.05,0.89,8.85,2.01,2.8,0.56,100,3.62,,,,,580,51,5,9,14,26,1,112,172,12,83,24,53,150
AB  86 ,62.5,0.69,18.2,,,0.03,0.82,7.73,1.61,3.48,0.57,99.8,4.19,,,,,616,77,14,14,17,40,5,150,134,11,143,25,67,138
AB  88 ,65.2,0.65,17.2,,,0.03,0.76,5.88,1.66,3.25,0.99,99.7,4.15,,,,,978,79,13,14,20,41,1,177,146,13,137,29,56,154
AB  89 ,59.4,0.48,13.1,,,0.04,1.22,17,1.37,2.71,0.29,99.8,4.14,,,,,447,80,5,5,15,33,1,109,189,8,105,23,26,110
AB  90 ,65.6,0.37,13,,,0.06,2.01,9.78,2.23,3.72,0.28,100,3.03,,,,,378,61,10,7,10,35,1,143,185,12,71,23,54,91
AB  91 ,62.9,0.77,19.1,,,0.03,0.89,5.94,1.19,3.12,0.65,99.9,5.29,,,,,744,94,8,15,24,54,1,168,132,11,156,25,64,166
AB  92 ,65.5,0.64,15.9,,,0.06,1.94,6.55,1.34,3.11,0.53,99.5,3.94,,,,,737,115,25,12,17,89,1,145,175,4,111,27,73,144
AB  93 ,60.5,0.78,18.3,,,0.04,1.14,7.79,1.28,2.53,2.02,99.6,5.18,,,,,1180,88,9,13,24,46,1,128,219,14,166,31,63,198
AB  94 ,64.2,0.72,16.9,,,0.05,2.34,6.23,1.2,3.06,0.26,100,5.07,,,,,490,121,25,13,15,98,1,141,124,1,118,19,86,145
AB  97 ,60.2,0.9,21,,,0.02,1.06,6.08,0.79,3.04,0.76,99.5,5.65,,,,,691,102,9,15,21,57,1,149,143,3,188,26,87,160
AB  98 ,60.8,0.9,21.2,,,0.02,1.05,6.11,0.82,3.07,0.86,100,5.52,,,,,778,102,10,17,24,58,1,152,149,4,184,25,85,160
AB 101 ,54.1,0.65,14.1,,,0.13,3.16,17.3,0.99,3.81,0.26,99.8,5.28,,,,,619,70,32,6,10,100,1,114,222,1,89,20,80,109
AB 102 ,57.8,0.61,13.6,,,0.12,3.53,15,1.19,3.22,0.15,99.7,4.57,,,,,454,70,27,8,11,53,1,110,220,2,95,22,73,132
AB 103 ,57.1,0.66,14.9,,,0.11,2.86,12.3,1.27,4.44,0.42,100,6.12,,,,,689,68,24,7,11,61,1,122,222,3,87,21,89,130
AB 104 ,58.5,0.71,16.1,,,0.13,3.03,11.7,1.13,3.07,0.22,99.9,5.36,,,,,605,83,32,11,11,62,1,122,196,3,112,20,87,127
AB 105 ,57.8,0.62,14.7,,,0.13,2.92,14.8,1.08,3.15,0.25,100,4.84,,,,,501,67,32,6,8,58,1,107,225,3,115,19,83,105
